P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(0, 1)","(-12, 43)","(-31, 67)","(63, 73)","(0.0, 103.0)","(89, 67)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -25)","(20, -26)",2357
"(0, 2)","(-12, 44)","(-31, 68)","(63, 74)","(0.0, 104.0)","(89, 68)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -24)","(20, -26)",2393
"(0, 3)","(-12, 45)","(-31, 69)","(63, 75)","(0.0, 105.0)","(89, 69)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -23)","(20, -26)",2429
"(0, 4)","(-12, 46)","(-31, 70)","(63, 76)","(0.0, 106.0)","(89, 70)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -22)","(20, -26)",2464
"(0, 5)","(-12, 47)","(-31, 71)","(63, 77)","(0.0, 107.0)","(89, 71)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -21)","(20, -26)",2500
"(0, 6)","(-12, 48)","(-31, 72)","(63, 78)","(0.0, 108.0)","(89, 72)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -20)","(20, -26)",2536
"(0, 7)","(-12, 49)","(-31, 73)","(63, 79)","(0.0, 109.0)","(89, 73)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -19)","(20, -26)",2571
"(0, 8)","(-12, 50)","(-31, 74)","(63, 80)","(0.0, 110.0)","(89, 74)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -18)","(20, -26)",2607
"(0, 9)","(-12, 51)","(-31, 75)","(63, 81)","(0.0, 111.0)","(89, 75)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -17)","(20, -26)",2643
"(0, 10)","(-12, 52)","(-31, 76)","(63, 82)","(0.0, 112.0)","(78, -87)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -16)","(20, -26)",2679
"(0, 11)","(-12, 53)","(-31, 77)","(63, 83)","(0.0, 113.0)","(78, -86)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -15)","(20, -26)",2714
"(0, 12)","(-12, 54)","(-31, 78)","(63, 84)","(0.0, 114.0)","(78, -85)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -14)","(20, -26)",2750
"(0, 13)","(-12, 55)","(-31, 79)","(63, 85)","(78, -84)","(0.0, 115.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -13)","(20, -26)",2786
"(0, 14)","(-12, 56)","(-31, 80)","(63, 86)","(78, -83)","(0.0, 116.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -12)","(20, -26)",2821
"(0, 15)","(-12, 57)","(-31, 81)","(63, 87)","(78, -82)","(0.0, 117.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -11)","(20, -26)",2857
"(0, 16)","(-12, 58)","(-31, 82)","(63, 88)","(78, -81)","(0.0, 118.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -10)","(20, -26)",2893
"(0, 17)","(-12, 59)","(-31, 83)","(63, 89)","(78, -80)","(0.0, 119.0)","(-12, 42)","(-31, 66)","(63, 72)","(0.0, 102.0)","(89, 66)","(20, -9)","(20, -26)",2929
